Username,Twitter Handle,Timestamp,Comments,Retweets,Likes,Text
Randy Frederick,@RandyAFrederick,2023-03-07T14:35:36.000Z,,,1,"#options
#OptionsTrading
http://Schwab.com/RandyFrederick
In early morning options action, equity names among the top 10 most actives today include: #TSLA, #AAPL, #META, #NVDA, #RIVN, #SE, #SNAP"
DVS,@DevisMazza,2023-03-07T14:34:44.000Z,,,,"Humanity destroying stocks like #Meta go up, humanity helping stocks like #Tsla go down....what a weird WS."
John Wick Inspiration Quotes,@JGaycheese,2023-03-07T14:27:34.000Z,,1,,"These 2 fight for money, not their freedom 
https://youtube.com/shorts/i69VwYjmf0s?feature=share…

#JohnWick4ComingSoon
#englot 
#Putin 
#TikTok 
#PancakeDay 
#XiaoZhan 
#technology 
$tsla
#TSLA
#PaulFury 
#stupidvideos 
#TheLastOfUs 
#LoganPaul 
#Tyson"
Bob,@BobDistrict12,2023-03-07T14:23:33.000Z,,,,#TSLA Feels like end of December 2022.  Shorts paying off media for negative empty and hollow press and me tweeting for everyone to buy.  Buying $TSLA with both hands. #FoxBusiness #CNBC #stockmarket
susanta biswal,@biswalsk22,2023-03-07T13:51:11.000Z,,,,#Tsla hrly
susanta biswal,@biswalsk22,2023-03-07T13:48:26.000Z,1,,,#TSLA
Businesblog,@Businesblog5,2023-03-07T13:47:25.000Z,,7,12,Tesla models will have by 2025 https://businesblog.com/tesla-models-will-have-by-2025/… #TSLA
Landingo69,@landingoparty69,2023-03-07T13:46:19.000Z,,,,Oh Jerome $SOBR #SOBR #charting #charts #TradingView #studies $SATX #SATX $MSGM #MSGM $TRKA #TRKA $PBLA #PBLA $SBEV #SBEV $VTGN #VTGN $CDIO #CDIO $ATOS #ATOS $LIPO #LIPO $CZOO #CZOO $SFR #SFR #CNBC #Bloomberg $AMC $TSLA #TSLA $BBBY $SPY #SPY #Watchlist #Stocks #Daytrader #swinger
Nathan Black,@thefinancehydra,2023-03-07T13:46:12.000Z,,,,"TSLA: Dangerous Reaction in a ""No Man's Land"". - #TSLA chart on 
@TradingView"
Truth Delivery,@Truth_now11,2023-03-07T13:45:35.000Z,,,,Check out suckkaaaa's video! #TikTok https://tiktok.com/t/ZTRWQMNyD/ check this out! Biden’s doing shady stuff behind our backs! Pay attention and stop being distracted!! #life #live #america #patriot #happy #american #ape #tsla #twitter #amzn #f
Auto Helpers,@helpers_auto,2023-03-07T11:57:00.000Z,,,,"Estimated Tesla Order Backlog Remains Stable In February 2023

More Info Here:
https://autohelpers.net/estimated-tesla-order-backlog-remains-stable-in-february-2023/…

#tesla #teslanews #teslaupdate #news #tsla"
Auto Helpers,@helpers_auto,2023-03-07T11:56:00.000Z,,,,"Tesla Starts Recruitment for Gigafactory Mexico

More Info Here:
https://autohelpers.net/tesla-starts-recruitment-for-gigafactory-mexico/…

#tesla #teslanews #teslaupdate #news #tsla"
Aleksandr Shark,@aleksharkcrypto,2023-03-07T11:52:50.000Z,,,5,"#TSLA
Tesla может начать производство на сввоем заводе в Мексике уже в следующем году — власти"
ERC Gabriel,@maugigli,2023-03-07T11:52:40.000Z,,,2,"(2/*) #TSLA. Short operation. An increase of Taiwan issues and EEUU-CHINA sanctions will lead to major uncertainty from techs and electric car companies. 

Remember that raw materials price will increase cause China economic expansion.

#TESLA $ES #Commodities"
PumpCTrader,@PumpcTrader,2023-03-07T11:50:10.000Z,,,1,"TSLA close to losing 190 support  - #TSLA chart on 
@TradingView"
BadCoin.,@BadCoine,2023-03-07T09:52:48.000Z,,,,"BEARISH TREND ANALYS - #TSLA chart on 
@TradingView"
CLIPPY AVTRS,@clippyavtrs,2023-03-07T09:48:57.000Z,,,2,"It gets awry out there, stay humble. 
.
.
#NFTCommunity #nfts #NFTsales #web3 #web3community #eth #crypto #technology #ai #Science #old #TechNews #tsla #clippyisback"
Joe Hansen,@joehansenxx,2023-03-07T09:48:18.000Z,,,,"Tesla pre-market #TSLA $TSLA
193.35$ -0.24%"
Washington Hill,@ShellCoveCap,2023-03-07T09:41:07.000Z,,,1,$xtraf Ai weapons detection signed deal with msg sports recently and #tsla used at investor day. It detects all weapon no more waterfall technology. Detects all weapons agile future of safety schools sporting events etc. Ground floor trading at 57c top 50 otc
BEST ADVISER,@BESTADVISER3,2023-03-07T09:33:05.000Z,,1,,"و على الوعد ماشيين ولله الحمد من بداية الاسبوع 
وكان الدخول 2.00
والاعلى 10.00
بنسبة 500%
#QQQ 
#SPX 
#TSLA 
#الأسهم_الأمريكية 
#الاوبشن  
#سباكس
#السوق_الامريكي 
#التحليل_الفني
#spy"
Andrea Secco,@AndreaSecco3,2023-03-07T07:28:18.000Z,,,,"BREAKING: Elon Musk running for president in Thailand 
#tsla"
Justice,@hedgedogs69,2023-03-07T07:07:23.000Z,,1,5,"WE APES GO TO THE END
I TOLD YOU. 
WE WILL END CRIME OF WALL STREET.
THIS IS JUSTICE
BUY AND HOLD UNTILL COVERING ALL
#BBBY,#AMC,#GME,#shortsqueeze,#MOASS,#NakedShorts,#DarkPool,#TSLA,#ElonMusk,#Citadel"
Mike in the Woods,@MichelSeguin2,2023-03-07T06:33:59.000Z,,,,"I've owned my Tesla Model 3 for three months now. Here's my experience with it!

https://youtube.com/watch?v=wbeG3yd5lxQ…

#Tesla #Model3 #TSLA #TeslaModel3 #TeslaRoadTrip #evcamping #technology #outdoors #EV #electricvehicle #camping #TeslaCamping #LivingInATesla #roadtrip #teslaadventures"
Ezer,@EzerRatchaga,2023-03-07T06:32:45.000Z,5,1,33,Are your problem with #tsla a matter of calling it FSD or do you have problem with Tesla actually working on a technology that is inevitable?
Sertem Alkır,@sertemalkir,2023-03-07T05:58:14.000Z,,1,3,"Yarış başladı haliyle

#TSLA #Ford #BMW #Toyota #Hyundai #renault #Volkswagen"
BOBPAC,@Eeel_O,2023-03-07T05:47:08.000Z,,,,#tsla #fx #viop
topstonks,@topstonks,2023-03-07T03:20:32.000Z,,,,"$TSLA seeing sustained chatter on wallstreetbets over the last few days

Via http://topstonks.com/stocks/TSLA?st_tsla…

#tsla    #wallstreetbets  #stocks"
Pi31415926535,@Pi314159tsla,2023-03-07T03:10:04.000Z,,,1,"The term Tesla killer is laughable. What are the criteria to be a Tesla killer? Surpass in EV sales significantly so as to ‘kill’ #TSLA sales? 

An EV maker producing electric vehicles that are on par with Tesla would be a major achievement; a Tesla peer."
TRADER JOE,@JoeysOnTop,2023-03-07T03:05:18.000Z,1,,,We are going to bank tomorrow went 3/5 on trades today  going to have some bangers tomorrow’s #spy #tsla #stocks #stock #markey #bitcoin
Ray,@raz037,2023-03-07T03:04:23.000Z,,,,GTFO!!! #IYKYK #TSLA #Tesla
Dan D,@DanDee1430,2023-03-07T03:01:30.000Z,,,,"I agree, SpaceX is amazing. You single-handedly destroyed the entire value of my #tsla shares with your stock sales, and I do have to return to a regular wage job, entirely because of you, but the things happening at SpaceX are amazing. 
@elonmusk"
Justice,@hedgedogs69,2023-03-07T03:00:45.000Z,,1,1,"AMC,BBBY,GME HOLD~
TO THE MOON
NO ONE SELL~ 
KEEP GOING ON WALL STREET CRIMINALS~
#BBBY,#AMC,#GME,#shortsqueeze,#MOASS,#NakedShorts,#DarkPool,#TSLA,#ElonMusk,#Citadel"
Ayush Goel,@iamayushgoel,2023-03-07T03:00:23.000Z,,,8,"Booking profit on #tsla 
Will DCA lower"
Megapro,@MegaproData,2023-03-07T01:25:10.000Z,,,,"Most Popular Stocks updated @ 03-06 19:25ET -->

https://w3data.io/data/most-popular-stocks/…

 #SNAP #TSLA #AMZN #AI #COIN #GOOG #CRWD #META #AMD #GOOGL #UBER #RIVN #ENPH #DKNG #NVDA #F #NFLX #MARA #SOFI #ROKU"
strengthPlan,@strengthPlan,2023-03-07T01:21:35.000Z,2,,13,You have to do 0-60 every chance you get at a red light and the speed limit is 55’s are the best then the other cars have to go 80 mph just to catch up and pass you eventually while we just hang back cruising safely at 65 mph #tsla
KT_FX,@ktwj_fx,2023-03-07T01:14:04.000Z,,,,"TSLA Analysis - #TSLA chart on 
@TradingView"
Teslastic,@Teslastic,2023-03-07T00:42:25.000Z,,,,"It finally happened, TheOrville has attained 80,000km just shy of its 4th year anniversary.
Still drives the same as day1, still love it
@Tesla
 @elonmusk
 #TSLA"
Nicholas J. Nicastro,@donniccolo,2023-03-07T00:23:50.000Z,,,,"Omar chose violence 

#TSLA #tslaq"
Michael Xu,@mushu909,2023-03-07T00:12:17.000Z,,,1,"One for all the EV lovers out there! Want this shirt? 
Visit https://uishirts.com for the goods!
#Tesla #TSLA #ElectricVehicles #uitees #ui_tees
#TeslaInvestorDay #TeslaRadar"
Side Hustle,@ErikSteiner8,2023-03-06T22:41:29.000Z,,,,"$TSLA Tesla Inc $193.81 price at market close today 2023-03-06.
#tesla #tsla #trading #stocks #nasdaq"
てらす証券アドバイザーズ株式会社【公式】,@terrace_IFA,2023-03-06T22:40:00.000Z,,,18,"#テスラ　#TSLA

高級車種の値下げを発表
対象となったのは高級セダン「モデルS」と高級SUV「モデルX」で、4～9％値下げした。昨年10月と今年1月に値下げした中国などでは販売が急回復しており、値下げが需要を刺激し、工場稼働率の向上につながるとの前向きな見方もある。

#米国株 #NASDAQ"
CHPHD,@CHP_UHD,2023-03-06T22:39:22.000Z,,,1,"Nouvelle vidéo actualité Tesla a ne pas manquer.
#tesla #ElonMusk #teslacanada #teslafrance #TSLA"
Sam Thokka,@SThokka,2023-03-06T22:37:53.000Z,,,,"@elonmusk
 my Model Y could not determine speed limit when the speed limit sign was upside down because of storm. Can this be fixed? #TSLA"
Immortal,@NwOFckThePolice,2023-03-06T22:37:40.000Z,1,1,4,$TSLA #TSLA #TESLATRUCK $LCID $DOGE $BTC $ETH
Felipe Dabul,@trade_valor,2023-03-06T22:34:37.000Z,,,4,"Olá pessoal! 
Segue o link da Live de Fechamento de hoje. Trago muito aprendizado neste bate-papo sensacional!

https://youtube.com/watch?v=FnakGIBbEGI…

#IBOV  #investment #mglu3 #Dollar #bolsadevalores #eter3 #OIBR3 #TSLA"
にな＠2023,@Nina_tkk,2023-03-06T22:19:06.000Z,,,34,"おはようございます

祭りですね
#TSLA  がもうちょっとあがってくれると楽しい
１年間マイナスの #KO #OXY はそろそろ買い増します。

積読はあと3冊くらい残ってます
敗者のゲーム読みながらついマイポ触ってしまうから先に進まない"
스펙터 인베스트,@hhgyulolo,2023-03-06T21:44:21.000Z,,,,"경기침체가 오는 이유!  #미국주식 #nasdaq #나스닥 #테슬라 #TSLA #tesla

유튜브: 스펙터 인베스트

#테슬라 #tesla #teslastock  #미국주식 #nasdaq #나스닥 

https://youtu.be/ob9WprywCzg"
"S.E. Robinson, Jr.",@SERobinsonJr,2023-03-06T21:42:23.000Z,85,112,737,"Where is this? 
@Tesla
 Model Xs on show.
$TSLA #TSLA 
@elonmusk
 #テスラ 
@Tesla
 #ModleX"
strengthPlan,@strengthPlan,2023-03-06T21:37:47.000Z,,1,12,Tesla will go up when it feels like it but it will go up #TSLA
strengthPlan,@strengthPlan,2023-03-06T21:37:11.000Z,1,2,7,Stocks may be down but not our love  for tesla grows everyday #TSLA
strengthPlan,@strengthPlan,2023-03-06T21:36:37.000Z,4,3,24,"When your down just go into your tesla, you will feel immediately cheered up  #TSLA"
Furu Alerts,@furualerts,2023-03-06T21:26:47.000Z,,,,"Investor AnyaAlis shares their experience of the day with #TSLA, which opened at $199.73 and dropped to $193.63, a 2.78% loss. They reflect on the mental game of investing and the need to practice patience. #StockMarket #Investing #BBTfamily"
Leo Ma,@moka_bingsha,2023-03-06T21:21:37.000Z,,,,"Wow, this is an interesting article about Tesla charging and its implications. They are doing great work to make the Rivian truck even better. Thanks for sharing! #RIVN #TSLA #LCID #PSNY #F"
FinacialHood,@financialhood,2023-03-06T21:20:43.000Z,,1,1,"@bankofcanada
 about to pump real estate, crash/dilute the Canadian bolivar more.  #Mexico stronger currency than , lower cost, lower wages, lower taxes, interest 11%, #TSLA open  while  have business exodus just to protect real estate. What a morons"
Art Vandelay,@LJS527,2023-03-06T20:36:03.000Z,,,,"How am I supposed to feel about this as a 
@Tesla
 investor? 
@elonmusk
 wasting even 1 second of his time on inane Twitter squabbles is not helping me get a return on my money. 
$TSLA #TSLA"
Ron Leckfor,@1LightwaveTech,2023-03-06T20:35:05.000Z,,,,"#TSLA 
@ElonMuskNewsOrg
 @TeslaBest
 @elonmusk
 @Tesla
 @truth_tesla
 @teslaownersSV
 @teslaeconomist
 @Teslaconomics
  @WholeMarsBlog"
Ron Leckfor,@1LightwaveTech,2023-03-06T20:34:01.000Z,,,,"#TSLA 
@ElonMuskNewsOrg
 @TeslaBest
 @elonmusk
 @Tesla
 @truth_tesla
 @teslaownersSV
 @teslaeconomist
 @Teslaconomics
  @WholeMarsBlog
Don’t worry, it will do so soon!"
Optionshunter,@optionshunterr,2023-03-06T20:27:12.000Z,,,,"#SPX #QQQ #APPL #AMZN #TSLA
$SPX on its way to test $4030..Strong reversal post spike in the morning.."
Oracle Investments,@oracletim1,2023-03-06T20:25:43.000Z,2,3,14,When does a… #health #trending #viral #Tesla #beachbody #TSLA #motivation #waterfall #nature #TeslaStock #toughlovetim #fitness #oracleinvestments #advice #spartan #bodi #timspiration #dadjokes #jokes
Vince Stiener,@Elonjjjjjjjjjj,2023-03-06T20:20:50.000Z,,,,"Nice 
#TSLA"
CarlWahlstrom,@WahlstromCarl,2023-03-06T20:14:04.000Z,,,,I have a hard time believing your profile since most of your tweets are negative about #ElonMusk and #TSLA You also tweet positive about transvestism and have an uneducated male way of expressing yourself. So no I don’t believe your words or picture 
إگــ ـــه,@wellyalsomiri,2023-03-06T19:33:53.000Z,,1,,"فيوتشر #spx 
اذا لامس مستوى 4045 
كول يفضل عقد ينتهي الاربعاء 

بغض النظر عن حديث #باول 
يستهدف 
4080 
4100
4120

بالتوفيق للجميع 

#aapl #option #tsla #coin #السوق_الامريكي"
BGMCrypto,@bgm_fx,2023-03-06T19:33:22.000Z,2,,8,"TOP 10
#BTC #bsc #BUSD #Crypto #XRP #cryptoart #art #DeFi #Matic #stocks #altcoin #ETH #AVAX #web3 #Tsla #Airdrop #Binance #Cardano #ADA #Twitter #ElonMusk #NFT #BNB #NFTs #Doge #CRO #USA #AI #hodl #DC #USDT #SOL #SHIB #USDC #CHATGPT #FTX #FTT #DOT #SAFEMOON #LINK #EUR #CHZ $META"
السوق الامريكي أسهم Option and,@My_online_card,2023-03-06T19:32:08.000Z,,,2,"#Tsla
Call210
1
10-3-2023
بلا تهور خطير 
فوق ١٩٣ مهم يحافظ عليها للكول"
iTradePrice,@MommyTrades,2023-03-06T19:28:44.000Z,,,4,##QQQ #TSLA #AAPL #NVDA #SPY trade the chart. If you want to trade the top price action based trading setups follow us for free trial on our discord. https://discord.gg/UWj9FY7D
InvestingAngles,@InvestingAngles,2023-03-06T19:08:49.000Z,,1,2,"$TSLA = Weekly Analysis = #TSLA 
@markets
 @seekingalpha
 @marketwatch
 @zerohedge
 @ft"
LazyDaz,@LazyDaz777,2023-03-06T19:06:16.000Z,,,1,Follow the money!  #MMTLP #MMAT #TSLA #AMC #APE #GTE #NWBO …. and on and on with the #COUNTERFEITSHARES #darkpools #PFOF destroying US stock market and robbing  global investor accounts 
Landingo69,@landingoparty69,2023-03-06T19:04:51.000Z,,1,1,Party $SOBR #SOBR #charting #charts #TradingView #studies $SATX #SATX $TRKA #TRKA $PBLA #PBLA $SBEV #SBEV $VTGN #VTGN $CDIO #CDIO $ATOS #ATOS $GMBL #GMBL $LIPO #LIPO $CZOO #CZOO $SFR #SFR #CNBC #Bloomberg $AMC $TSLA #TSLA $BBBY $SPY #SPY #Watchlist #Stocks #Daytrader #swinger
TESLA BULL,@BestTrader01,2023-03-06T19:04:38.000Z,4,,11,"$TSLA #TSLA Once it hits $192 i will close my Covered Call or Decay is killing premium. I am making money both ways!

F(*(*&K Algo!"
Gornagraphic,@gornagraphic,2023-03-06T19:04:34.000Z,,,,pretty big longer time frame divergence here on tsla. Seems to be a lot of selling pressure yet stock is moving up still in general. Wonder if massive options contracts is what is causing this. #tsla $tsla #stockmarket #trading #stockmarketcrash
Jacob Jones,@TraderJonesy,2023-03-06T18:35:15.000Z,,,1,$TSLA #TSLA  The 1 hour chart showing that we could bounce here at $194 but we did loose STOCH and RSI so it’s not something I’d pursue. Every time frame is not looking to hot.
Gornagraphic,@gornagraphic,2023-03-06T18:29:36.000Z,1,,1,AAPL is having trouble holding 155 so now they are switching to TSLA. Tsla now on the move up from the lows as market is barely moving. Just a couple stocks can hold the entire market up. But for how long? #tsla $tsla #aapl #spy
Jacob Jones,@TraderJonesy,2023-03-06T18:29:21.000Z,,,1,$TSLA #TSLA  The weekly chart Volume profile pointing straight to that $120 level. If we snap that red line (point of control) then it is very possible. Also STOCH and RSI on weekly has crossed to downside.
Twosmokesrule,@2smokesrule,2023-03-06T18:25:21.000Z,,,,"This is perhaps one of the dumbest takes out there!
I’ll stick with #TSLA"
73647djsl,@733jdlh,2023-03-06T18:20:30.000Z,,,2,"#lithium $BRW $AMY $TSLA #recycling #BatteryMetals #TSLA #Tesla 
@elonmusk"
Jacob Jones,@TraderJonesy,2023-03-06T18:19:01.000Z,,,,$TSLA #TSLA  STOCH crossed below 60 on daily and RSI may have the cross below 50! Everything still pointing to that $140 level which is where I’ll heavily load up. Volume profile is showing support at $150. I am going to start scaling in there. 
ベルサラン,@in_kahk,2023-03-06T17:31:44.000Z,,,,"スゴイことなのですが、万が一事故に遭ったら責任は誰にあるのでしょうか？
気になります
#Tesla
#TSLA"
topstonks,@topstonks,2023-03-06T17:20:12.000Z,,,1,"$TSLA was the 2nd most mentioned on wallstreetbets over the last 7 days

Via http://topstonks.com/stocks/TSLA?st_tsla…

#tsla    #wallstreetbets  #stocks"
Helixtrader36,@helixtrader36,2023-03-06T17:18:15.000Z,,,1,Post-day review completed. Net profit of $91.82 today. Traded #SPY & #TSLA options. See my process at http://helixtrader36.blogspot.com.
